id,name,state,district,latitude,longitude,area_coverage,altitude,description,source,submitted_at,user
1480,Devi Bhairabi Bhairabguda,Odisha,,21.373082,86.157445,,,,approved,,
1481,Sunya Mandap Ramda Hill,Odisha,,21.267839,86.413989,,,,approved,,
1482,Purnapani Purnapani RF,Odisha,,20.604613,83.540052,,,,approved,,
1483,Raibania Raibania RF,Odisha,,21.908824,87.202046,,,,approved,,
1484,Bukkacherla,Andhra Pradesh,,14.549352,77.515528,,,,approved,,
1485,Alur Kona,Andhra Pradesh,,14.942432,78.075317,,,,approved,,
1486,Aswarthakshetam Sacred Grove,Andhra Pradesh,,14.941323,77.866175,,,,approved,,
1487,Atmakur Darga Sacred Grove,Andhra Pradesh,,15.881275,78.583795,,,,approved,,
1488,Gundlamalleswara Sacred Grove peddagantipalli,Andhra Pradesh,,16.013002,78.971779,,,,approved,,
1489,Reddamma konda,Andhra Pradesh,,13.838195,78.643935,,,,approved,,
1490,lankamalleswara temple,Andhra Pradesh,,14.547605,78.855357,,,,approved,,
1491,Poleramma Sacred Grov,Tamil Nadu,,12.000172,79.803524,,,,approved,,
1492,Kolleru Kota Sacred Grove,Andhra Pradesh,,16.681500,81.343552,,,,approved,,
1493,Bhimeswara Sacred Grove,Andhra Pradesh,,16.754205,81.532757,,,,approved,,
1494,Gudikal Sacred grove gudikal/yemmiganur,Andhra Pradesh,,15.747240,77.472416,,,,approved,,
1495,Panyam Sacred Grove,Andhra Pradesh,,15.511788,78.354106,,,,approved,,
1496,Sunkalamma-narasimha grove,Andhra Pradesh,,15.514863,78.348219,,,,approved,,
1497,Avva- Thatha Sacred Grove idukurpet,Andhra Pradesh,,14.470274,80.096555,,,,approved,,
1498,Chennakesava Sacred Grove chejerla,Andhra Pradesh,,14.521627,79.565643,,,,approved,,
1499,Mathamma Temple Sacred Grove,Andhra Pradesh,,14.415576,79.661266,,,,approved,,
1500,Prasanna Venkateshwara Sacred Grove,Andhra Pradesh,,13.537179,79.477612,,,,approved,,
1501,Thumrnagunta Ayappa Sacred Grove,Andhra Pradesh,,14.596849,80.060814,,,,approved,,
